sentiment,text
positive,Fit our 2009 Springdale perfect very happy
positive,"This worked great on a 2003 Subaru Forester and a 2009 Mini Cooper S. I was able to read the trouble codes and reset the check engine light on both vehicles. I didn't even have to read the manual, as the menus were fairly self-explanatory."
positive,I installed this one on my Dodge Ram 1500 96 man this helped out a lot . Gained more power !
positive,Love the way this filter looks and sounds I got the cleaning spray with it too and it's easily cleanable
positive,Worked great.
positive,Nice
negative,I wish I Woukd have read the reviews before ordering. This DOES NOT fit a Chevy Malibu Maxx!! Sending back for a refund.
positive,works very well i like being ably to set it for the pressure  i need and then when it reaches it....  it stops no more guessing
positive,"This was a gift for my dad. All I can say is, my dad is very happy with this product."
positive,Life saver for traveling and needing adapter! Quality good
positive,"I like the price, and I like the feeling of safety that I have from keeping it in the glovebox. It is very lightweight, which concerns me a little--would it really work in an emergency situation? Hopefully I never get the opportunity to find out, but I will keep it in the car just in case!"
positive,"So glad I went with Corrosion-X and not WD-40, this stuff blows WD-40 out of the water. Did a great job taking the squeaks out of my door hinges as well as lubed old padlocks I had that were starting to stick due to water and rust!"
positive,I drive a 2017 fire raptor. They went in perfect. They are brighter than my factory ones.
positive,Best oil around
positive,Fits perfectly and was so easy to install!
negative,Xftyyuuhbb
positive,Works as advertised.
positive,These are for. Dodge Ram and the fit perfect!
positive,Very well made. Love the look
negative,didnt fit
positive,"This is my favorite hoodie! It is beautiful and the fabric is quality. A friend accidentally touched the sleeve with the hot ash of her cigarette... I was upset, til I noticed, it didnt leave a mark! Any other sweat jacket would have had a hole in it... I call it my ""armour"" now!"
positive,After reading the instructions and playing a bit . No problems installing an using . Works very well .
negative,"I bought 2 sets of these for my F150. They are bright with full coverage for a bright running and brake light.<br />But they don't last. Just had the 4th bulb out of 6 fail. they will start to lose diodes, flicker, and then fail completely.<br />Guess I'll be looking for a higher quality product.<br /><br />Update: Just had another burn out.<br />This means 5 out of 6 have failed in less than 5 months.<br />Wish I could give this a zero rating."
negative,"NOT GENUINE HONDA part, be aware connections are wrong, end of the tube are different from the original picture where is you have to put clamp... so trying to save some time looks else where!"
positive,Muy bueno para organizar los objetos dentro del carro.
negative,The size is not 6x12. 😕
positive,Fit in perfectly. Only issue is that my factory gas cap does not fit.
negative,Broke on the first try to connect and tighten the cable. Metal is weak. System is cloncky…
positive,"Worked perfectly on my pearl white, 2011 GMC Sierra Denali truck. Looks great! Works great! Highly recommended if you have a similar vehicle."
positive,"Fit my 2004 Honda Odyssey perfectly.  High-quality Bosch product.  Installed with the same Brake Pads.  Together, these products work flawlessly and are squeak-free!  Easy DIY to save hundreds of dollars!  My dealer quoted me $617 for front and rear pads and rotors (for some low quality brand too).  I bought all Bosch, front and back, pads and rotors, for $240!  Had them all installed in 3 hours!"
negative,I usually go for the off brand items but I made a huge mistake with this one... Only used it once! Didn't even make it to the trail..... I filled up with water to rinse and clean and attach the cap that is all it took to break the gasket and have water leaking all over the place thank God it wasn't fuel....tried using the spout and water leaked everywhere.... And to top it all off I had to pay for my own shipping for the return at half the price of the item.... DO NOT BUY!! TRUST ME BUY ROTOPAX LIKE I DID after purchasing this defective item. 12/16/2021 do yourself a favor and DO NOT BUY!
positive,wash and scrub the bugs yes it does.  does the job like it says it will...
positive,I use mine to hold sewing pins. The magnetic pin holder I had before was chintzy at best so I upgraded. This is fantastic. I have knocked it on the floor several times and not lost a pin yet.
positive,It costs a fraction of the amount the oil change place wanted to charge and it’s so simple to change.
negative,"Very rigid and hard to install on steering wheel.  I have yet to get it on. Instructions state to warm it with a hair dryer. Last I checked,  there aren't sufficient plugs in a car to use a hair dryer. The purpose of the cover is to protect my hands from the cold steering wheel.  If I warm it in the house, it'll be cooled before I get it outside.  I'm in the northeast!"
negative,Horrible projection
positive,I purchased this kit to upgrade my lights on a 2015 GMC Terrain SLT. The product can packaged very well and secure and even had small zip ties and double sided stick pads to put the transformers out of the way (didn’t need to use either). They also came with cotton gloves to handle the lights which was a nice touch. The lights went in smoothly and worked well and the brightness and clarity is a huge upgrade over the factory halogens. Installation on this vehicle was a ridiculous pain but that’s GMC design and not Sealight. Definitely recommend this and will get for next car.
positive,"Rolled it on, looks great and it tough and durable"
positive,This product performs as required. A half thickness nut would be an improvement for a shifter ball.
positive,Worked great and came on time
positive,Installed a few weeks ago nd have taken the boat out in the water couple times . Looks good so far.
positive,Dislike  the Cost
negative,Bought two pairs for the coast. Ordered small for both 6 and 9 year olds.  They were both larger and loose on my kids. Both pants ripped at the seems between the legs from belly to back after 1 hour walking on the beach. Had to duck tape back together for the rest of our weekend trip. Didn't expect to last long at the price but hoped for at least 3 days use. They are light and water proof.
positive,Happy
positive,It fits perfectly and appears to be a very durable material.
positive,Worked great
positive,"It was hard finding a bucket fits well. Ive been Home depot and Lowes, but couldn’t find one. One was too big, but other one was too small dragging the organized skirt. However, when you find a perfect bucket for this, it would be worth it. I am very satisfy with this product."
negative,"Well made starter drive kit, but listed fit is baloney. Would not fit at all on my starter, which was in the list of fitments."
positive,Price VERY good!
negative,The thing doesn't stay tight. No matter what I did I have to tighten it after every drive... Till it gave up and the threads gave up... No good!
positive,The clips worked well. I wished there a few more of the smaller (narrower) size but all the clips seemed to be good quality for the price. I used them on a prius.
positive,It a good quality socket. It is definitely worth the money.
positive,"Shipping took awhile but I like it. My friend liked so much , I had to order him one too !"
positive,"I was so pleased when I received this holder and it fit my iPhone 8+!  Very, very easy to mount to the bike and to fit the phone in.  Just what I was looking for.  A low profile, flexible holder."
positive,"Good fluid, but price plus shipping was over 50% more than on the shelf at autoparts store."
positive,Bought this little bad boy to hold my Tennessee hitch cover in place. It has done its job perfectly!
positive,"Purchased this for a 2012 Silverado extended cab. The fact Chevy didn’t consider to be like dodge and make a factory recessed storage area still blows my mind. But none the less I got this to resolve that issue. Simple install of unbolting the factory spare tire tools setting your underseat box in and lining up the hole for the jack piece with your box putting your tolls on top and cranking it back down..<br /><br />Some said storage was small but honestly it’s your whole under backseat portion.. I fit all my tie down straps, spare container of oil, antifreeze, wd40, and still have 70% of the storage empty for adding jumper cable and so on..<br /><br />I think the price is well worth the item and would buy it again no questions looks factory works great"
negative,"Dangerous product.<br />Do not use on car windows or on any surface where visibility is safety critical.<br /><br />No matter how much or little I apply and how much I wipe and buff, this product produces a very bright rainbow-colored mirror-like glare. It also allows the window to fog up easier somehow.<br />When I first got the product, I applied it on the windshield, rearview, and side mirrors of my car. I buffed it out and it looked very clean. When I went driving the next day at night, every headlight that shined on the surfaces reflected all of the light back at my eyes and I could not see a thing on those surfaces besides white and rainbow. Before the drive, I noticed a lot of fog on the applied glass surfaces and didn't think much of it, but then I started noticing it every day (morning and night) and it would constantly fog up after I wiped.<br />I tried applying more than once with different methods after that experience. Still same results.<br />The product is incredibly hard to wipe off when you want to get it off."
positive,Not all aftermarket items are worthwhile. This adds a very nice look to my new F450 Superduty. Very smooth finish and factory appearance. Lots of compliments. Highly recommend this product.
positive,Looks great<br />Unfortunately large was to big for my hands.
negative,"Returned.  Even though answered questions said two, only one was in the package."
positive,Easy to install good directions and super white and bright. Turns the night into day.
positive,"Extremely good price versus the dealer. My symptoms initially was a frequent motor sound from under the dash, then eventually it went full hot or full cold, but if I smacked the motor it would work (just worn out) Once I figured out how the change it, it only took me a few minutes to install. Works perfectly and everything is COOL again."
positive,"These flashers are safe, bright and better than the old flaming flares.  They come in a nice case.  Every car should have at least one."
positive,Perfect for the garage! We used these in the garage and they work great! Wish they came a little longer as we sometimes vary our parking stance in the garage.  Buy two per door you need.
positive,"Perfect fit on my 2004 Nissan Frontier, I needed to find out why my truck was loosing spark and quit running while driving. This coil made the truck run alot better but didn't fix my problem.  I had to replace the distributor as a whole.Spending less than $15 was well worth it to find the real problem.  I would buy it again.....Only bad is that it took 10 days to get here by fed-ex"
positive,Exact fit and came with new nuts and bolts.  Fast/safe delivery and ready to go out of the box.
positive,"I have better luck with it by removing the leaking tire and wheel, breaking breaking just one bead and pouring it in and re-inflating the tire as quickly as possible then rolling it around slowly, even flipping the entire wheel over a few times so it can coat the tire and wheel inside, then put it back on and driving it around for about 10 minutes. Yes this even works if the wheel has micro-fractures in the casting but not if it actually cracked."
positive,It fits and protects.
positive,"Wasn't too sure at first. Bought it to ride mountainbiking when I want to look cute. Turned out OK. If you sweat a lot and get a smell, make a spray bottle of water and a few drops of tea tree oil and spray it on the armpits before washing. This works with yoga pants, too."
positive,I am very pleased with the fuel pump that I purchased. It looks very well built<br />and on my 1999 GMC c3500 it produces 54 pounds of pressure at idle. My old fuel<br />pump only put out 45 lbs of pressure. It was well packaged and it fit right in without any<br />changes. The seller followed up to make sure I was satisfied with the purchase and that<br />the product worked. I would easily purchase another one if needed from this seller.
positive,Comfortable too! Cool design my boy loved it!<br />Make sure the screws are tight for the visor though. I didn't think of it and we lost one. No problem though. They sent us replacement set at no charges. Great buy!
negative,DOES NOT HONOR WARRANTY!!!!!!! I’ve now made multiple attempt to warranty my shocks bought less than a year ago and they won’t even respond
negative,not worth it
positive,"Not sure why I had such a hard time installing, but once it was installed, it's a great product!"
negative,It said glitter like. There's nothing about this plain plate that glitters. Advertisement is misleading!
negative,"While it was easy to install, I had to cut off strings and sew a couple places where the faux wool was not attached to the elastic."
positive,This works great. It has charged and re-charged many batteries for us. Easy to use.
positive,Fits perfect on 1997 Miata.  Other caps were too tall and did not allow the fuel cover to close properly.
positive,This is my third plastic chrome hitch receiver. You may find that it fits a bit loose so wrap a couple turns of black electrical tape around the inserted end (as needed) and it will fit more snugly. After a year  the chrome will start to wear away on the face but these are cheap enough to replace more often. Buy two and have a spare ready!
positive,Fits perfect in my 2018 Camry.  Might buy another for the truck.
negative,"This is a nice item and is easy to hide on your motorcycle. It is very loud if you are on top of it or in a quiet parking lot. But I'm afraid that only the person taking the parts off your motorcycle will hear it if there is a highway near by.<br />**Unless you put it under something, when they hear the first small warning sound. They will smash it and it will never alarm.<br />Otherwise it is just something to make you feel cool as you walk away from it as it beeps."
positive,We have a refrigerator in a newly built garage space that has a 4” concrete curb at base of interior wall. This perfectly protects the fridge door from any damage when it gets opened against the concrete surface. Very easy to install; cut with a serrated knife to fit. Good solution!
positive,"Delivery was quick and the gauge is very well designed and made.  Have not had much opportunity to use it yet, however, so cannot really rate performance yet.  JACO followed up quickly to see if I was satisfied."
positive,WORKED AS EXPECTED
positive,save me a great deal of headache during ac line disconnects
negative,Got lights on of shipping box a tab was broken off. Wasn’t happy with it but husband was able to make it work for now. Tired of spending money for product and not entacted as described. Better packaging and final inspection might have helped. Not sure if I purchase again.
positive,Love this item makes my trunk look way nicer and keeps dirt and spills away from the carpet Just wish the sticky parts sticked better But overall satisfied
positive,Works as expected
positive,Perfect fit for my Honda Fit. Easy to install. I will buy this again.
positive,"Once a month, a 'green' cleaning service team comes in to do my house. It's owned by an ex-Marine who personally trains the employees. I originally hired them because they also do free house cleaning for Veterans in need (gotta love a company with a heart), and they don't use harmful chemicals.<br />I'm not good at cleaning and use too many paper towels.<br />There, I said it. Guilty as charged.<br /><br />I noticed that my cleaning service comes in with a stack of neatly folded, brightly colored cloths, and leaves with a bucket filled with grungy ones. Not one paper towel. No cut-up old t-shirts, towels, or rags.<br />So I asked what they were.<br />Microfiber.<br />So I tried these.<br /><br />When dusting, my usual cotton rag absorbed so much furniture polish it was ridiculous. With these, sometimes I don't even need the polish, they are like dirt magnets.<br />Then the ultimate test. The boat.<br />As much as I insist guests wear deck shoes, someone always boards with regular shoes, leaving black scuffs everywhere but below deck.<br />These eat up the scuffs leaving the white upper deck gleaming.<br />Next, my motorcycle. Gentle enough for the tank, tough enough for the pipes.<br /><br />I love that these are thin, because they get into nooks and crannies, and dry quickly, unlike thick towels.<br /><br />If these were any better, they'd do the cleaning themselves."
positive,Have not had to use it yet - but it has what I was looking for
positive,"Wow, wasn't expecting the battery to be delivered so fast.  Very well packaged.  I took the battery down cellar and put it on charge but it was fully charged.  This is going in my Champion Power Generator.  Will check it out on that in a few days and if I don't reply back it's because I'm very satisfied with it."
positive,I returned this magneto as I discovered my engine  had other problems that a different magneto wouldn't have solved.
positive,These fit in our cup holders and work well
positive,Good Honda part
negative,I placed them in my truck I used alcohol to wipe down the aira after dryed. I peld off the red strip and placed them up. Then I put a little package of kleenex in them the next day I got in my truck they where on the floor. Both of them So I don't think they are worth buying. Until they get better. But until they in prove the adhesion.
positive,Just as described. Looks great and work great keeping the wind of of your eyes!
negative,"These caps are nicely made, but are much too big for my Honda Civic's type 51 battery's cables and connectors. The material they're made from is very flexible, so the caps are easily pushed off the battery posts when working under the hood. They're a very loose fit. I'll contact Fastronix to find out if they overs with a snugger fit. (Note: I had to slice the tubular part in order to get the cap onto the cable without taking the original connector off. I then wrapped red electrician's tape snugly around the tube. They fit nicely, but the body of the cap is much too large for the battery connectors.) I bought these Fastronix caps after I tried to buy the original Honda equipment semi-rigid battery cap from my dealer's parts department. They told me it was only available with a battery!"
positive,"Installed this on my Toyota Prius 2007, and it replaced my 200k mile oem ones which to say the least, were completely shot. They worked great, and fit well. Will update review if I ever change them out or if they fail."
positive,Super comfortable and snug fit.
positive,Fits perfectly and appears to be of the same construction as the OEM filter in my 2013 Mercedes Benz C250 AMG Sport.
negative,"These wipes leave a greasy film all over! I made the mistake of using them all over the inside of my brand new car without testing an area first and I was left with a gross, greasy film on every area I wiped. It looked gross and dirty and dried with greasy streaks"
positive,"Didn't fit,  but made some adjustments to make it work.  Otherwise I really like it.  PLEASE read before you purchase this product to see if it really fits your Jeep soft top..."
positive,I had to do some trimming with scissors but it wasn't difficult abd I am a grandma
positive,"We loved the ease of having this on top of our Hyundai Tucson. We drove through multiple winter storms with blizzards, gale force winds, and driving rains. This held. We had suitcases and other random small objects shoved into this and it held the entire 1600 miles."
positive,"Zero leaking after 6 months, makes changing oil so much easier. No more looking for the right wrench, etc."
positive,Perfect replacement for 2011 Silverado 1500 LT
positive,"[[VIDEOID:7040c74bdc1d046de92273562faaafcd]] The gaskets are about 10""x8.5"", each one is slightly different for some reason. The gaskets in the set are 1/8"" & 1/16"" in Rubber infused cork, 3/64"" rubber cellulose (blue), & 1/32"" rubber fiber. The rubber cellulose (blue) is rated for water & coolant, the others are rated for water, gasoline & oil. There is a handy spec sheet included in the pack which has this information & more that would have been very helpful in the actual Amazon description.<br />I have several gaskets to make for a motorcycle engine so I ordered this multi-pack of gasket material not knowing exactly what thickness & materials I would need. I have only used the 3/64"" rubber cellulose so far to make a water pump gasket. I haven't tested it with water under pressure yet but I think it made a nice gasket.<br />The blue rubber cellulose was hard to cut by breaking it over a sharp edge. It cuts pretty well with a sharp razor blade but it also dulls the blades pretty quickly."
positive,Exact fit and work great.
positive,Arrived on time but is slightly thinner than the one it is replacing that was damaged in a rear-ender
positive,I keep a pair of sunglasses and readers on these. Works well for holding papers and parking slips too
positive,The quality of the cover is good nice hard surface durable and keeps stuff dry in the bed of the truck the directions are terrible and are very vague difficult to install by myself but I was able to do it after about 2 hours of trial and error
positive,"Always use when I change spark plugs, never had an issue."
positive,"Good price, and I prefer satin finish over the glaring shine.. reminds me of 303 aero without the higher cost. Will buy again"
positive,This is a must have if you own a vehicle with a sealed coolant system.  I had trouble with air pockets in my Mini Cooper before I had this.  It was a pain to bleed the air out of the system.  Now that I have this you just create the vacuum and fill straight from the bottles.  Takes a matter of minutes instead of an hour.  I would happily pay more and this will work for year to come.
positive,this is a well made connector with excellent instructions for terminating a 10 ga. cable
positive,pretty good  mud flaps great price ease of install
positive,My goto when I need a coarse rubbing compound
positive,Good value. Silicone case is a little flimsy.
positive,"Perfect for your home DIY science projects!<br />My son needed to complete an end-of-year science project involving 9v batteries. We needed an easy way to power project using battery and alligator clips. The battery clip was simple, and it's two lead wires were perfect for the job."
positive,"It's been only about a month, so I can't comment on their longevity. But I replaced the burned-out tiny incandescent bulbs in our house number sign, and they look great. They are slightly brighter than the old bulbs, and a much bluer (&#34;whiter&#34;) light, compared to the yellow light of the incandescent bulbs. Fast shipping and a very reasonable price. If these last as long as the incandescents, it will be great."
positive,Fit my 2017<br />Camaro perfectly! Easy to put on in a few minutes! Very substantial material.  Excellent purchase!
negative,I wasn't really pleased with this replacement as it didn't solve the problem. I went through the process of going to a dealership and getting it re-programmed. It seemed to work but then a day or so later it was lagging/not reading like the original.<br />I went back to the dealer and they re-programmed the original.<br />Not great.
positive,"Great Value for the money! We packed this thing to the point we were nervous it was going to bust. It did NOT. We took a 7 hour roadtrip roundtrip, got back, hosed it off (bugs) folded it up and put it back in its nifty little bag. We only have roof bars going the length of the car and it stayed in place on its non skid mat that came with it with no problem at all."
positive,Kept gas in 55 gal. drums for three years. Use as directed and can't go wrong.
negative,"I love this sticker, the color and size is as described and it looks great on my jeep. The only reason I can't give five stars is ihat it started to peel off after only one week, even thoughgthe window was cleaned etc before application."
positive,"* update to the update, Hikari sent an updated version of the bulbs which work as designed and clip in and connect as they should. Happy with the outcome, just sorry it took all of this to get there<br /><br />*update....Hikari contacted me and replaced the headlights with a newer model that should click together and work as designed. We shall see....they should arrive today!<br /><br />The headlights themselves are good, the companies customer service....not so much. I had a problem with the particular bulb not clicking in as designed. Wrote to customer service with a few questions and they will not answer a question for anything. So if you order these lights, just pray you don't ever need any help or have any questions pertaining to their product, because they will be of no help. You would get more answers out of a houseplant or your dog"
negative,Doesn't cling to anything
positive,"First of all, I love that I don't have to figure out battery type and size.  I worry about my wife being stranded alone.  Having this, to keep in the car at all times, eases my mind a little.<br />Has a nice digital screen to make seeing it a lot easier than the one I used to use.<br />I like the cord and cable wrap.<br />I really don't know anything about car engines but, I like that it also checks the alternator.  For a mechanic that's a wonderful tool.  For a non mechanic like me, at least I'd know that something else is wrong and maybe not just my battery.<br /><br />Hopefully I won't have to use this too often but, it's good to know that my wife will have a little comfort when she's on the road by herself.  It only weighs about 7 lbs and small enough for her to handle by herself.  Also will alert her if she hooks the cables on wrong.  Love that feature!"
positive,Bullet Proof
positive,"Thick, folds nice"
positive,For my 8BA Ford Flathead! Works great.
positive,"This looks perfect on my 2008 Camry Solara steering wheel. The carbon fiber print and grey padding matches the aesthetic and really enhances the look of my interior, while also making the wheel thicker and easier to grab. I tried a couple of other steering wheel covers before this and didn't love them for one reason or another. This is the perfect feel and texture and aesthetic, I can't imagine my car without it anymore. It feels like this is how it should have come from the factory."
positive,Fit on my 1966 mustang with a 351W
positive,"I've been using Mobil 1 for decades now. This is my go-to oil to keep all my vehicles lubricated. Rather than run that fine oil through some cheap filter I lean toward the more expensive ones thinking that more cost equates with a better filter.<br />All that said, I trust the Mobile 1 brand.<br />A friend of mine owns one of those quick change oil businesses. He collected a bunch of filters and sawed them in half. There is an enormous difference in the construction and therefore the oil filtering ability of an oil filter. Cheap really did equal to a cheaper made filter. Expensive generally equated to a better constructed filter.<br />Researching through the internet lead me to the same conclusion that looking at a bunch of sawed through filters.<br />This filter stood out for construction, and oil filtering ability."
positive,No complaints. Item worked fine with our vehicle. Folds down easily and love the pouch that came with it.
positive,Looks good changes things up. Gives you that custom feel along with the other 5 million who purchased this for their rides in the past.
positive,Great tool to diagnose problem and offer top fixes.
positive,They work
positive,Pricy but. Ad to the bone! Looks great
negative,"I like this organizer. Bought it for our truck, but not big enough. I kept it because it is still helpful. Each compartment held about 2 groceriy bags full of food. Didn't bring ice, so can't comment on that. I will keep and still use it and may even buy another, just wish a larger size available."
positive,One of the easiest upgrades I've done!
positive,"It works fine, large numbers."
positive,"I had put amber lights in my rear interior domes to match the amber ambient lighting in my Mercedes GLA, but the amber was too orange for me.  So, I ordered these because I am looking for what I would describe as ""golden yellow"".  There's nothing ""gold"" about this yellow.  They are so yellow that they're almost green---a very cold yellow with no golden tones whatsoever.  Picture looking at a bright yellow light through a glass of mountain dew.  It's VERY BRIGHT yellow with definite hues of ""electric green"".  I'll keep looking.  But, I can say these are VERY bright, seem to be very well made, and so if you're looking for a yellow that reminds you of Mountain Dew, these are going to make you very happy!"
negative,"Bought this kit. First off, it didn't come with the bolt covers (little black plastic things) shown in the photo. Second, it comes with too few secondary parts for the primaries (not enough nuts & washers). Because of that second thing, I wound up using the plastic nuts, and those don't stay on. Not worth it."
positive,Good fit looks factory
positive,Easy install no problems yet
negative,Would not work with my truck windows that apparently have some sort of safety sensor where it will stop the window if it senses an obstruction. I never could adjust the fit to allow me to use my window without disabling that safety feature.
positive,"good fit like OEM but the bolts supplied did not work too short and incorrect size, had to reuse the stock factory bolts"
positive,"The goggles DO fit over my glasses.  They DO darken &#34;a little&#34;.  (the photo is a little mis-leading) It's not so dark that you really get &#34;shade/sunglasses&#34; level protection, but it's better than nothing and it allows me to look a bit less geeky with the protection my glasses need and a bit of shade in sun or clear at night."
negative,"Comments that I read before I bought this tour pack prepared me for the issue that the supplied hardware was completely useless, and trust me, it is.  After designing new attachment system, and spending some time at a specialty hardware store, I have a rock solid fully detachable tour pack that works well. You also have to put additional gasket material around the bottom of the lid to make it fit more snugly as well. Without that it will rattle your brains out. Overall, it was really easy to work with and modify, and looks OEM enough to fool most people. What works best is that it is super spacious, and that's a huge plus."
positive,Worked great on our van windows.  Kept the sun out.
negative,It’s alright… it’s works as it is. Just don’t think the quality is as it’s best. For what it is it’s ok.
positive,very nice and well made and excellent fit 2014 accord
positive,My husband used it on his 2006 Jeep Liber\ty and found the problem he was having with the gas cap on this vehicle.
positive,"The sleek new retro color scheme is exhilarating... Just kidding.<br />These offer the best quality for the money in oil filters.<br />Glad to see these on Amazon, now that Walmart stopped carrying them."
positive,Used for my 2002 Toyota Corolla. Covers my blind spots very well. Only problem is that I can't put down my window sun blockers or else they'd push the mirror.
positive,This is truly an amazing product. It literally transformed the windows of my 2002 Honda Odyssey. I rarely write reviews and certainly not given to hyperbole. I am very impressed.
positive,As advertised
positive,"Fits good on our suv , easy to install, breathable fabric so can easy drive with the window open. Keeps insects out."
positive,Delivered quickly and exactly as advertised
negative,This cord will not work without the correct programs.
negative,"very low price, equally low quality."
positive,Works very well.  VW redesigned the fan so the fan motor is more protected from dust and dirt than the original fan that came with the car.
negative,"I do not care what anyone says, putting fittings on these hoses is a major chore.  I tried heating the hose in hot water, using a little white grease...nothing helped to make it easier.  After about 20 minutes of struggling I got fittings onto the hose.  I was using Camco fittings.  I highly recommend just buying the hoses with fittings attached."
positive,A bit tricky to install in my 2016 Legacy. But there are a couple of videos on YouTube which were helpful for me. Product itself appears to be of good quality and has served me well in the past.  Cost compared to the dealership can't be beat.
positive,Replaced this boy my boyfriend's truck. He loves it!
positive,"I've used Beck Arnley pads several times for Nissan vehicles. They always seem to perform as good as OEM pads and are of a decent quality. Quiet, smooth, and as long lasting as the OEM Nissan pads. Decent shims and are painted with a hard, long lasting enamel that keeps them from rusting between the shims and pad backing."
positive,I have been using this for years and it never disappoints.
positive,"This antenna replaced an old stubby antenna that someone stole off my truck, and it worked like a charm.  It was a snap to install and it works great, even getting stations that my old antenna didn't and music sounds clearer too. less static.  Not as low-profile as the stubby, but still looks good."
positive,Great
positive,Perfect all round tire for the Porsche Cayenne
positive,"Way cheaper than mopar, looks OEM, no issues! just remember to keep the wiring harness from the old one! I am an expert with these  vans and I don't mind these at all. Faster and cheaper than OEM. No quality issues so far."
positive,Very good product.
positive,"Very cool gift idea.Easy to locate,order,fast delivery.Satisfied!"
positive,"I practically live in a vehicle.  I not only take my dog on mini road trips, I also drive a bus and a minivan for a senior living center.  I can barely eat without a steering wheel in front of me, so this tray is fantastic.  I can spread out my lunch without trying to balance it on the center console and have to eat sitting side saddle.  I also have to wait for my passengers sometimes and now I have a great way of playing on my phone or tablet or doing minor paperwork.  This is a great product which is strong and should hold up for many, many years.  It fits beautifully on my Chevy Silverado truck, but is a bit iffy on my Fiat’s steering wheel.  The steering wheels on the company Dodge Minivan and our Chevy Converted handicapped equipped bus are also able to hold this tray.  Three out of four isn’t bad."
positive,I could not build it for this price and I am a welder  well made
positive,I really like the stuff Dorman puts out.  The part itself only took about 30 minutes to install and was very nice quality.  Taking off the door panel takes some time and should be done carefully don't ruin the cover!  The motor is a little louder than stock but not much at all.  Everything looked prefect right out of the box and the hardest part is getting the regulator in the door through the hole but sure enough it will fit.<br /><br />Overall this is a very very very easy thing to replace on your window.  DIY and save a lot of money.
positive,"Well made, nice finish. I had a set of these on another car that lasted seven years without pitting, rusting or dulling. Overall, a quality product that provides a nice finish to the vehicle."
positive,I like they don't move around. Look brand new
positive,I like how it easily attaches and does not leak!  The locking ring is positive giving a good solid feel.
positive,Great Toyota quality replaced grommet while replacing my PCV Valve on my 2001 Camry have a great day everyone
positive,good protection
